Record,Date,Time,Temp [C]
147,11/13/2024,1:48:33 PM,178.9
148,11/13/2024,1:48:38 PM,179
149,11/13/2024,1:48:43 PM,179.2
150,11/13/2024,1:48:48 PM,179.3
151,11/13/2024,1:48:53 PM,179.3
152,11/13/2024,1:48:58 PM,179.4
153,11/13/2024,1:49:03 PM,179.8
154,11/13/2024,1:49:08 PM,180
155,11/13/2024,1:49:13 PM,179.9
156,11/13/2024,1:49:18 PM,179.9
157,11/13/2024,1:49:23 PM,179.8
158,11/13/2024,1:49:28 PM,180.1
159,11/13/2024,1:49:33 PM,180
160,11/13/2024,1:49:38 PM,180
161,11/13/2024,1:49:43 PM,180.3
162,11/13/2024,1:49:48 PM,180.3
163,11/13/2024,1:49:53 PM,180.3
164,11/13/2024,1:49:58 PM,180.2
165,11/13/2024,1:50:03 PM,180.3
166,11/13/2024,1:50:08 PM,180.3
167,11/13/2024,1:50:13 PM,180.3
168,11/13/2024,1:50:18 PM,180.5
169,11/13/2024,1:50:23 PM,180.4
170,11/13/2024,1:50:28 PM,180.6
171,11/13/2024,1:50:33 PM,180.6
172,11/13/2024,1:50:38 PM,180.6
173,11/13/2024,1:50:43 PM,180.8
174,11/13/2024,1:50:48 PM,180.8
175,11/13/2024,1:50:53 PM,180.5
176,11/13/2024,1:50:58 PM,180.6
177,11/13/2024,1:51:03 PM,180.6
178,11/13/2024,1:51:08 PM,180.5
179,11/13/2024,1:51:13 PM,180.8
180,11/13/2024,1:51:18 PM,180.8
181,11/13/2024,1:51:23 PM,180.8
182,11/13/2024,1:51:28 PM,180.7
183,11/13/2024,1:51:33 PM,180.8
184,11/13/2024,1:51:38 PM,180.9
185,11/13/2024,1:51:43 PM,180.8
186,11/13/2024,1:51:48 PM,180.9
187,11/13/2024,1:51:53 PM,180.9
188,11/13/2024,1:51:58 PM,180.8
189,11/13/2024,1:52:03 PM,181
190,11/13/2024,1:52:08 PM,180.9
191,11/13/2024,1:52:13 PM,180.9
192,11/13/2024,1:52:18 PM,180.8
193,11/13/2024,1:52:23 PM,181
194,11/13/2024,1:52:28 PM,181
